,SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r
0,snztf18,-1.4532882197021948,0.2685543786479536,-0.05292599615064227,-3.864192092954501,6.714141013928119,13.107969052000968,-3.746321771573907,-1.653939950941373,0.11568347051452293,-0.07330157356405353,-2.350597755074939,7.66304076502529,15.613059512325332,-3.5640059727129736
1,sn19rwd,-0.9795900540523927,0.14217771900882678,-0.04914604265745349,-1.92108805872246,8.261811821051513,14.163971583056943,-2.7015292524537733,-0.5149438011239954,0.09114362667775322,-0.029224304209376425,-1.3861724096122305,8.728791646478744,13.82015292957411,-1.9028964515803413
2,sn20bio,-0.679591686662625,0.18733266048780678,-0.18336873045696006,-2.579679594197998,9.410124652588069,14.71730867893379,1.3646858544145168,-0.8052824197838542,0.28281682795990304,-0.133987189601554,-3.8975989632399015,9.193013756837964,16.188674827898204,-3.466264527116631
3,sn21aezx,-1.4997123253081468,0.21560557615292703,-0.15711459954204537,-1.663332886101431,9.671303482261285,10.158978625462886,-2.874710603338003,-0.9019834308629067,0.1369689735707511,-0.11115250950689404,-1.473953252937895,9.312692720695303,10.57787541466923,-2.8058922704274885
4,sn21gno,-1.589472221655726,0.15196389105925517,-0.08939098191325923,-2.1153941977548,9.798066566794084,13.929084398971039,-1.4233700440130255,-1.1157650722714014,0.11977779250628057,-0.10557521491923628,-1.8716481452651978,10.381561962697235,13.48105058097142,-2.602093777619526
5,sn21heh,-1.0180823344070036,0.16518050195184295,-0.07301482604869611,-2.609368901805114,2.6940319952994747,14.985388173314332,-1.329173259421836,-0.43323834444108267,0.13760079389505414,-0.05914182465048382,-2.6575573496709235,4.501013921101166,13.92208120063755,-2.373260777208637
6,sn21vgn,-0.8578603217033017,0.2061767498825841,-0.06499363661505138,-2.3727710064865795,7.23651461621449,13.5272170081792,-1.6226462045685515,-1.6023910021381311,0.16631751536447542,-0.059288478012044926,-2.048997153153537,7.264506745137403,13.407664352585794,-0.33525839936747626
7,sn22hnt,,0.351775781051223,-0.140359477154118,-4.595593968600115,,14.062883582559,-1.5985602769068117,-0.8760703121511002,0.3012634473603897,-0.12226855497727573,-4.282894512728125,9.226942125269339,13.391593442178234,-2.614484128861271
8,sn22jpx,,0.16231723276140492,-0.03249405859305503,-1.9331006267355069,,12.57051312641894,0.1923971828696139,-0.8619290418396317,0.09860277484152735,-0.03917729129583021,-1.356463090815017,5.241767123459551,13.537807102197426,-1.8295548469018799
9,sn22qzr,,0.24324168047551945,-0.1572519456891728,-3.904050154510529,,14.983038444417573,-2.740385037339734,-1.265636440821413,0.34372578442715773,-0.14195601701361904,-4.573563210187304,8.538785110244543,12.664144502338786,-3.083179850952707
